,name,geo_type,name_cbsa,popestimate2010,popestimate2020,n_pop_chg_2010_2020,births_2010_2020,deaths_2010_2020,natural_increase_2010_2020,int_migration_2010_2020,dom_migration_2010_2020,net_migration_2010_2020,dom_migration_rate_1020,int_migration_rate_1020
620,"Jacksonville, IL",Micropolitan Statistical Area,"Jacksonville, IL Micro Area",40829,38350,-2550,4159,4649,-490,432,-2479,-2047,-0.06071664748095716,0.010580714688089349
621,"Jacksonville, TX",Micropolitan Statistical Area,"Jacksonville, TX Micro Area",50932,52875,2048,7618,5506,2112,140,-165,-25,-0.0032396136024503263,0.0027487630566245193
622,"Jamestown, ND",Micropolitan Statistical Area,"Jamestown, ND Micro Area",21138,20498,-602,2367,2464,-97,187,-679,-492,-0.03212224429936607,0.00884662692780774
623,"Jamestown-Dunkirk-Fredonia, NY",Micropolitan Statistical Area,"Jamestown-Dunkirk-Fredonia, NY Micro Area",134726,126032,-8875,13986,15082,-1096,1650,-9477,-7827,-0.07034276976975491,0.012247079257158974
624,"Jasper, AL",Micropolitan Statistical Area,"Jasper, AL Micro Area",66995,63143,-3876,8097,10271,-2174,163,-1821,-1658,-0.02718113292036719,0.002433017389357415
625,"Jasper, IN",Micropolitan Statistical Area,"Jasper, IN Micro Area",54621,54920,339,6956,5667,1289,573,-1505,-932,-0.02755350506215558,0.010490470698083156
626,"Jefferson, GA",Micropolitan Statistical Area,"Jefferson, GA Micro Area",60706,76199,15729,8387,5889,2498,282,12936,13218,0.21309261028563894,0.0046453398346127245
627,"Jennings, LA",Micropolitan Statistical Area,"Jennings, LA Micro Area",31629,31208,-381,4354,3882,472,77,-917,-840,-0.028992380410382875,0.0024344746909481805
628,"Jesup, GA",Micropolitan Statistical Area,"Jesup, GA Micro Area",30080,30023,-79,3979,3463,516,158,-776,-618,-0.02579787234042553,0.005252659574468085
629,"Juneau, AK",Micropolitan Statistical Area,"Juneau, AK Micro Area",31387,31849,573,3772,1917,1855,698,-1985,-1287,-0.063242743811132,0.02223850638799503
630,"Kalispell, MT",Micropolitan Statistical Area,"Kalispell, MT Micro Area",90863,105851,14929,11423,8967,2456,359,12082,12441,0.1329694154936553,0.003951003158601411
631,"Kapaa, HI",Micropolitan Statistical Area,"Kapaa, HI Micro Area",67208,71851,4756,8626,6054,2572,2756,-519,2237,-0.007722294964885133,0.041007022973455536
632,"Kearney, NE",Micropolitan Statistical Area,"Kearney, NE Micro Area",52652,56766,4178,7770,4392,3378,902,-91,811,-0.0017283294081896225,0.01713135303502241
633,"Keene, NH",Micropolitan Statistical Area,"Keene, NH Micro Area",77063,76228,-895,6878,7398,-520,726,-1067,-341,-0.013845814463490909,0.009420863449385568
634,"Kendallville, IN",Micropolitan Statistical Area,"Kendallville, IN Micro Area",47455,47832,294,6270,4630,1640,128,-1461,-1333,-0.03078706142661469,0.002697292171530924
635,"Kennett, MO",Micropolitan Statistical Area,"Kennett, MO Micro Area",31951,28878,-3081,4338,4502,-164,267,-3200,-2933,-0.10015335983224312,0.008356545961002786
636,"Kerrville, TX",Micropolitan Statistical Area,"Kerrville, TX Micro Area",49640,52869,3226,5294,7469,-2175,363,5038,5401,0.10149073327961322,0.007312651087832394
637,"Ketchikan, AK",Micropolitan Statistical Area,"Ketchikan, AK Micro Area",13584,13747,213,1668,977,691,414,-894,-480,-0.06581272084805652,0.030477031802120143
638,"Key West, FL",Micropolitan Statistical Area,"Key West, FL Micro Area",73226,73900,810,7368,7228,140,3537,-2886,651,-0.0394122306284653,0.04830251549995903
639,"Kill Devil Hills, NC",Micropolitan Statistical Area,"Kill Devil Hills, NC Micro Area",33981,37547,3627,3525,3356,169,361,3094,3455,0.09105088137488596,0.01062358376739943
640,"Kingsville, TX",Micropolitan Statistical Area,"Kingsville, TX Micro Area",32454,30717,-1757,4583,2685,1898,893,-4597,-3704,-0.1416466383188513,0.027515868614038333
641,"Kinston, NC",Micropolitan Statistical Area,"Kinston, NC Micro Area",59491,55720,-3791,6631,7408,-777,274,-3283,-3009,-0.05518481787161083,0.0046057386831621595
642,"Kirksville, MO",Micropolitan Statistical Area,"Kirksville, MO Micro Area",30079,29933,-115,3414,2788,626,1038,-1783,-745,-0.05927723661025965,0.03450912596828352
643,"Klamath Falls, OR",Micropolitan Statistical Area,"Klamath Falls, OR Micro Area",66323,68739,2356,8128,8029,99,90,2194,2284,0.03308053013283476,0.0013569953108273148
644,"Laconia, NH",Micropolitan Statistical Area,"Laconia, NH Micro Area",60101,61551,1476,5291,7132,-1841,580,2790,3370,0.0464218565414885,0.009650421789986856
645,"La Grande, OR",Micropolitan Statistical Area,"La Grande, OR Micro Area",25725,26551,814,3002,2831,171,230,424,654,0.016482021379980564,0.008940719144800777
646,"LaGrange, GA-AL",Micropolitan Statistical Area,"LaGrange, GA-AL Micro Area",101165,103079,1883,13212,11809,1403,1175,-640,535,-0.0063262986210645975,0.011614688874610785
647,"Lake City, FL",Micropolitan Statistical Area,"Lake City, FL Micro Area",67558,72654,5128,8215,8219,-4,395,4744,5139,0.07022114331389323,0.005846827910832174
648,"Lamesa, TX",Micropolitan Statistical Area,"Lamesa, TX Micro Area",13826,12974,-859,1919,1401,518,149,-1571,-1422,-0.11362650079560248,0.01077679733834804
649,"Laramie, WY",Micropolitan Statistical Area,"Laramie, WY Micro Area",36471,38950,2651,3993,1963,2030,1535,-929,606,-0.025472293054755832,0.04208823448767514
650,"Las Vegas, NM",Micropolitan Statistical Area,"Las Vegas, NM Micro Area",34285,31622,-2634,3402,3367,35,662,-3365,-2703,-0.09814787808079337,0.019308735598658304
651,"Laurel, MS",Micropolitan Statistical Area,"Laurel, MS Micro Area",84832,84325,-520,11969,9829,2140,143,-2781,-2638,-0.03278244058845719,0.0016856846473029044
