,name,geo_type,popestimate2010,popestimate2020,n_pop_chg_2010_2020,births_2010_2020,deaths_2010_2020,natural_increase_2010_2020,int_migration_2010_2020,dom_migration_2010_2020,net_migration_2010_2020,dom_migration_rate_1020,int_migration_rate_1020
230,"Newton County, IN",County or equivalent,14234,13907,-332,1490,1641,-151,181,-354,-173,-0.02487002950681467,0.012716032035970213
231,"Porter County, IN",County or equivalent,164492,170980,6692,17738,15187,2551,818,3461,4279,0.021040536925807943,0.004972886219390607
232,"Lake County, IL",County or equivalent,704179,693593,-9803,78712,46294,32418,14257,-56959,-42702,-0.08088710398918457,0.02024627260966317
233,"Kenosha County, WI",County or equivalent,166629,169671,3247,19680,14491,5189,701,-2563,-1862,-0.015381476213624281,0.004206950770874218
234,"Butte County, CA",County or equivalent,219951,212744,-7261,24618,23905,713,1573,-9408,-7835,-0.042773163113602575,0.007151592854772198
235,"Dearborn County, IN",County or equivalent,50082,49824,-201,5328,4842,486,4,-676,-672,-0.01349786350385368,7.986901481570224e-05
236,"Franklin County, IN",County or equivalent,23058,22761,-336,2604,2188,416,88,-840,-752,-0.03642987249544627,0.003816462832856275
237,"Ohio County, IN",County or equivalent,6085,5892,-205,570,662,-92,31,-141,-110,-0.023171733771569437,0.005094494658997535
238,"Union County, IN",County or equivalent,7537,7119,-397,738,734,4,20,-424,-404,-0.056255804696828976,0.00265357569324665
239,"Boone County, KY",County or equivalent,119380,135396,16586,17337,8681,8656,2074,5933,8007,0.04969844195007539,0.017373094320656726
240,"Bracken County, KY",County or equivalent,8513,8286,-199,1046,964,82,24,-305,-281,-0.035827557852695875,0.0028192176670973805
241,"Campbell County, KY",County or equivalent,90806,94020,3680,11432,8775,2657,1092,-59,1033,-0.0006497368015329384,0.012025637072440145
242,"Gallatin County, KY",County or equivalent,8607,8779,198,1145,998,147,73,-21,52,-0.0024398745207389336,0.008481468572092483
243,"Grant County, KY",County or equivalent,24681,25387,727,3730,2403,1327,-52,-550,-602,-0.022284348284105183,-0.0021068838377699445
244,"Kenton County, KY",County or equivalent,159967,167949,8221,23471,15116,8355,1321,-1330,-9,-0.008314214806803905,0.008257953202848087
245,"Pendleton County, KY",County or equivalent,14915,14586,-288,1773,1602,171,39,-497,-458,-0.0333221589004358,0.002614817298022125
246,"Brown County, OH",County or equivalent,44868,43414,-1417,5101,5202,-101,-17,-1294,-1311,-0.028840153338682364,-0.000378889186056878
247,"Butler County, OH",County or equivalent,369111,385648,17510,46236,33608,12628,7021,-1942,5079,-0.005261289964265492,0.019021378392949543
248,"Clermont County, OH",County or equivalent,197613,207449,10079,23868,17820,6048,1309,2888,4197,0.014614423140178025,0.006624058133827228
249,"Hamilton County, OH",County or equivalent,802295,817985,15614,111144,81189,29955,19839,-33806,-13967,-0.04213662056974056,0.024727812089069483
250,"Warren County, OH",County or equivalent,213445,238412,25617,24565,17249,7316,4802,13699,18501,0.06418046803626228,0.02249759891306894
251,"Christian County, KY",County or equivalent,74145,71478,-2465,15231,6231,9000,2451,-13982,-11531,-0.18857643806055704,0.03305684806797492
252,"Trigg County, KY",County or equivalent,14321,14776,449,1564,1772,-208,16,645,661,0.04503875427693597,0.0011172404161720552
253,"Montgomery County, TN",County or equivalent,173181,214251,41890,34732,12755,21977,4551,14951,19502,0.08633164146182318,0.02627886430959516
254,"Stewart County, TN",County or equivalent,13347,13859,548,1394,1669,-275,25,802,827,0.060088409380385115,0.0018730800929047727
255,"Bradley County, TN",County or equivalent,99086,109071,10145,12292,10658,1634,1248,7275,8523,0.07342106856669964,0.012595119391235894
256,"Polk County, TN",County or equivalent,16813,16835,14,1648,2350,-702,-2,720,718,0.04282400523404509,-0.00011895557009456967
257,"Cuyahoga County, OH",County or equivalent,1278103,1227883,-52236,149786,141721,8065,31194,-91328,-60134,-0.07145589987661399,0.024406483671503783
258,"Geauga County, OH",County or equivalent,93381,93271,-126,9430,8478,952,397,-1443,-1046,-0.015452822308606675,0.004251400177766354
259,"Lake County, OH",County or equivalent,230010,229569,-482,23012,25278,-2266,2445,-472,1973,-0.0020520846919699146,0.010629972609886526
260,"Lorain County, OH",County or equivalent,301479,312172,10798,34052,31388,2664,4769,3614,8383,0.01198756795664043,0.015818680571449417
261,"Medina County, OH",County or equivalent,172503,180912,8583,17878,15048,2830,1059,4853,5912,0.028132844066480003,0.006139023669153579
262,"Kootenai County, ID",County or equivalent,138860,170628,32162,18081,14096,3985,-359,28493,28134,0.2051922799942388,-0.0025853377502520524
263,"Brazos County, TX",County or equivalent,195671,232555,37694,27484,10332,17152,13116,7323,20439,0.03742506554369325,0.06703088347276806
264,"Burleson County, TX",County or equivalent,17238,18514,1327,2053,2198,-145,312,1164,1476,0.06752523494604942,0.01809954751131222
265,"Robertson County, TX",County or equivalent,16551,17155,538,2139,1958,181,168,194,362,0.011721346142227057,0.010150444081928585
266,"El Paso County, CO",County or equivalent,627088,728310,106054,94876,44122,50754,12030,43130,55160,0.06877822570356952,0.019183910392161864
267,"Teller County, CO",County or equivalent,23474,25529,2169,1858,1676,182,-29,2014,1985,0.08579705205759564,-0.0012354093891113573
268,"Boone County, MO",County or equivalent,163208,182991,20339,21470,11040,10430,6565,3334,9899,0.0204279201999902,0.04022474388510367
269,"Cooper County, MO",County or equivalent,17601,17102,-500,2023,1958,65,58,-608,-550,-0.034543491847054145,0.003295267314357139
270,"Howard County, MO",County or equivalent,10141,10001,-141,1196,1048,148,45,-337,-292,-0.03323143674193866,0.004437432205896854
271,"Calhoun County, SC",County or equivalent,15098,14554,-625,1415,1797,-382,22,-269,-247,-0.017816929394621803,0.0014571466419393295
272,"Fairfield County, SC",County or equivalent,23860,22059,-1918,2205,3039,-834,152,-1229,-1077,-0.05150880134115675,0.006370494551550711
273,"Kershaw County, SC",County or equivalent,61700,67472,5886,7538,6880,658,334,4928,5262,0.07987034035656403,0.005413290113452188
274,"Lexington County, SC",County or equivalent,263365,303946,41492,33172,24823,8349,4150,28952,33102,0.10993108423670572,0.01575759876976819
275,"Richland County, SC",County or equivalent,385754,419051,34626,49165,30690,18475,10770,5566,16336,0.014428884729646357,0.02791934756347309
276,"Saluda County, SC",County or equivalent,19905,20315,458,2470,2164,306,233,-65,168,-0.003265511178095956,0.011705601607636272
277,"Russell County, AL",County or equivalent,53327,58237,5271,8594,6103,2491,236,2350,2586,0.04406773304329889,0.004425525531156825
278,"Chattahoochee County, GA",County or equivalent,11185,10551,-712,2319,350,1969,1565,-4311,-2746,-0.3854269110415736,0.1399195350916406
279,"Harris County, GA",County or equivalent,32147,36080,4088,3054,2791,263,59,3792,3851,0.11795812984104273,0.00183531900332846
280,"Marion County, GA",County or equivalent,8741,8516,-222,918,850,68,91,-385,-294,-0.044045303740990735,0.010410708156961448
281,"Muscogee County, GA",County or equivalent,191122,196442,5872,30688,19397,11291,5007,-10783,-5776,-0.05641945982147529,0.02619792593212712
282,"Stewart County, GA",County or equivalent,6099,6689,629,448,685,-237,1413,-596,817,-0.09772093785866537,0.23167732415150025
283,"Talbot County, GA",County or equivalent,6883,6143,-749,572,832,-260,0,-493,-493,-0.07162574458811563,0.0
284,"Bartholomew County, IN",County or equivalent,76823,84447,7665,10804,7615,3189,4649,-152,4497,-0.0019785741249365428,0.06051573096598675
285,"Delaware County, OH",County or equivalent,175114,213554,39385,22018,11110,10908,3581,24833,28414,0.1418104777459255,0.020449535731009515
286,"Fairfield County, OH",County or equivalent,146408,159709,13529,17424,13205,4219,1597,7826,9423,0.05345336320419649,0.010907873886672859
287,"Franklin County, OH",County or equivalent,1166218,1324624,161151,189785,96659,93126,59253,8909,68162,0.0076392235413962045,0.05080782495211016
288,"Hocking County, OH",County or equivalent,29483,28095,-1278,3169,3205,-36,47,-1292,-1245,-0.04382186344673202,0.0015941389953532544
289,"Licking County, OH",County or equivalent,166725,178100,11596,20239,16500,3739,1319,6690,8009,0.0401259559154296,0.007911231069125805
290,"Madison County, OH",County or equivalent,43434,44559,1121,4382,4240,142,466,500,966,0.011511718929870608,0.010728922042639408
291,"Morrow County, OH",County or equivalent,34790,35411,586,3897,3319,578,3,18,21,0.0005173900546133947,8.623167576889911e-05
292,"Perry County, OH",County or equivalent,36037,36215,179,4348,3670,678,88,-579,-491,-0.016066820212559313,0.002441934678247357
293,"Pickaway County, OH",County or equivalent,55737,58658,2978,6210,5752,458,143,2408,2551,0.04320289933078565,0.0025656206828498125
294,"Union County, OH",County or equivalent,52462,60021,7687,6649,3778,2871,718,4095,4813,0.07805649803667418,0.01368609660325569
295,"Nueces County, TX",County or equivalent,340251,363148,22925,48668,29349,19319,5890,-2245,3645,-0.0065980702481403435,0.01731075000514326
296,"San Patricio County, TX",County or equivalent,64424,67069,2277,9850,6350,3500,567,-1809,-1242,-0.028079597665466288,0.008801067924996896
297,"Benton County, OR",County or equivalent,85577,93239,7658,7378,5893,1485,4789,1358,6147,0.015868749780899073,0.05596129801231639
298,"Okaloosa County, FL",County or equivalent,180725,212820,31996,27837,17878,9959,4485,17324,21809,0.0958583483192696,0.02481671047171116
299,"Walton County, FL",County or equivalent,55214,76648,21604,7651,6353,1298,305,19775,20080,0.3581519179918137,0.005523961314159453
300,"Allegany County, MD",County or equivalent,74968,70057,-4985,6844,9311,-2467,581,-3085,-2504,-0.04115089104684665,0.007749973321950698
301,"Mineral County, WV",County or equivalent,28208,26722,-1503,2812,3413,-601,40,-929,-889,-0.032933919455473616,0.0014180374361883153
302,"Collin County, TX",County or equivalent,787102,1072069,291175,111337,42343,68994,48737,172435,221172,0.2190757995787077,0.0619195479111983
303,"Dallas County, TX",County or equivalent,2373711,2635888,267732,400126,162249,237877,118769,-87658,31111,-0.036928674130928325,0.050035155922519635
304,"Denton County, TX",County or equivalent,665833,919324,257709,99786,36346,63440,22714,169849,192563,0.25509249316269994,0.034113659130743
305,"Ellis County, TX",County or equivalent,150408,191760,42111,21669,12474,9195,864,32051,32915,0.21309371841923305,0.005744375299186214
306,"Hunt County, TX",County or equivalent,86367,99807,13663,11555,9534,2021,952,10694,11646,0.1238204406775736,0.0110227285884655
307,"Kaufman County, TX",County or equivalent,103880,143198,39846,16490,9595,6895,571,32328,32899,0.3112052368117058,0.005496726992683866
308,"Rockwall County, TX",County or equivalent,78971,109888,31490,10492,5814,4678,1074,25639,26713,0.3246634840637703,0.013599929087893023
309,"Johnson County, TX",County or equivalent,151251,179575,28628,20993,13873,7120,316,21276,21592,0.1406668385663566,0.002089242385174313
310,"Parker County, TX",County or equivalent,117324,148198,31239,14778,11115,3663,735,26789,27524,0.22833350380143874,0.006264702874092257
311,"Tarrant County, TX",County or equivalent,1818167,2123347,312002,284982,128625,156357,61539,94003,155542,0.05170207137188168,0.03384672585081568
312,"Wise County, TX",County or equivalent,59083,71084,12002,7957,5862,2095,240,9676,9916,0.16376961224040756,0.004062082155611597
313,"Murray County, GA",County or equivalent,39532,40032,404,5066,3857,1209,134,-937,-803,-0.02370231711018921,0.0033896590104219365
314,"Whitfield County, GA",County or equivalent,102740,103837,1235,14025,8455,5570,185,-4486,-4301,-0.043663616897021605,0.0018006618649016933
315,"Vermilion County, IL",County or equivalent,81642,74855,-6770,10333,9944,389,253,-7419,-7166,-0.09087234511648416,0.0030988951765022906
316,"Baldwin County, AL",County or equivalent,183121,229287,47024,22965,21613,1352,1618,43683,45301,0.238547190109272,0.008835687878506561
317,"Henry County, IL",County or equivalent,50459,48411,-2076,5388,5531,-143,4,-1926,-1922,-0.03816960304405557,7.92722804653283e-05
318,"Mercer County, IL",County or equivalent,16410,15225,-1211,1497,1911,-414,38,-833,-795,-0.05076173065204144,0.0023156611822059718
319,"Rock Island County, IL",County or equivalent,147613,140907,-6635,18503,16001,2502,3552,-12672,-9120,-0.08584609756593252,0.024062921287420484
320,"Scott County, IA",County or equivalent,165291,173216,7989,22344,15267,7077,2377,-1405,972,-0.008500160323308591,0.014380698283633109
321,"Greene County, OH",County or equivalent,161599,170122,8544,18155,14799,3356,4508,717,5225,0.00443690864423666,0.027896212229036068
322,"Miami County, OH",County or equivalent,102487,107516,5013,12095,11002,1093,708,3315,4023,0.032345565779074416,0.006908193234263857
323,"Montgomery County, OH",County or equivalent,535620,531610,-3589,67812,62126,5686,10735,-19774,-9039,-0.03691796422837086,0.02004219409282701
324,"Lawrence County, AL",County or equivalent,34314,32857,-1451,3678,4209,-531,-25,-885,-910,-0.02579122224165064,-0.0007285656000466282
