,name,geo_type,popestimate2010,popestimate2020,n_pop_chg_2010_2020,births_2010_2020,deaths_2010_2020,natural_increase_2010_2020,int_migration_2010_2020,dom_migration_2010_2020,net_migration_2010_2020,dom_migration_rate_1020,int_migration_rate_1020
1495,"Klamath County, OR",County or equivalent,66323,68739,2356,8128,8029,99,90,2194,2284,0.03308053013283476,0.0013569953108273148
1496,"Belknap County, NH",County or equivalent,60101,61551,1476,5291,7132,-1841,580,2790,3370,0.0464218565414885,0.009650421789986856
1497,"Union County, OR",County or equivalent,25725,26551,814,3002,2831,171,230,424,654,0.016482021379980564,0.008940719144800777
1498,"Chambers County, AL",County or equivalent,34105,32865,-1289,3934,4664,-730,234,-776,-542,-0.02275326198504618,0.006861164052191761
1499,"Troup County, GA",County or equivalent,67060,70214,3172,9278,7145,2133,941,136,1077,0.0020280345958842826,0.01403220996122875
1500,"Columbia County, FL",County or equivalent,67558,72654,5128,8215,8219,-4,395,4744,5139,0.07022114331389323,0.005846827910832174
1501,"Dawson County, TX",County or equivalent,13826,12974,-859,1919,1401,518,149,-1571,-1422,-0.11362650079560248,0.01077679733834804
1502,"Albany County, WY",County or equivalent,36471,38950,2651,3993,1963,2030,1535,-929,606,-0.025472293054755832,0.04208823448767514
1503,"Mora County, NM",County or equivalent,4893,4478,-403,420,466,-46,-5,-355,-360,-0.07255262620069487,-0.0010218679746576743
1504,"San Miguel County, NM",County or equivalent,29392,27144,-2231,2982,2901,81,667,-3010,-2343,-0.10240881872618401,0.022693249863908548
1505,"Jasper County, MS",County or equivalent,17013,16332,-735,2180,2028,152,-6,-886,-892,-0.05207782284135661,-0.00035267148651031563
1506,"Jones County, MS",County or equivalent,67819,67993,215,9789,7801,1988,149,-1895,-1746,-0.02794202214718589,0.002197024432681107
1507,"Scotland County, NC",County or equivalent,36062,34637,-1523,4623,4139,484,167,-2183,-2016,-0.06053463479562975,0.004630913426875936
1508,"Lawrence County, TN",County or equivalent,41971,44432,2573,5815,5494,321,44,2223,2267,0.052965142598460836,0.001048342903433323
1509,"Laclede County, MO",County or equivalent,35697,35895,301,4883,4185,698,30,-425,-395,-0.011905762388996276,0.0008404067568703253
1510,"Grafton County, NH",County or equivalent,89133,90691,1556,7490,8466,-976,3035,-446,2589,-0.005003758428415963,0.03405023952969158
1511,"Sullivan County, NH",County or equivalent,43744,43267,-471,4041,4554,-513,192,-121,71,-0.0027660936356986104,0.0043891733723482075
1512,"Orange County, VT",County or equivalent,28945,28837,-101,2704,2736,-32,88,-131,-43,-0.0045258248402142,0.003040248747624805
