,NAME,pop_total_10,pop_total_20,pop_growth_1020,pct_pop_white_nh_10,pct_pop_white_nh_20,pct_pop_black_nh_10,pct_pop_black_nh_20,pct_pop_americanindian_nh_10,pct_pop_americanindian_nh_20,pct_pop_asian_nh_10,pct_pop_asian_nh_20,pct_pop_hawaiianpacificislander_nh_10,pct_pop_hawaiianpacificislander_nh_20,pct_pop_otherrace_nh_10,pct_pop_otherrace_nh_20,pct_pop_multiracial_nh_10,pct_pop_multiracial_nh_20,pct_pop_hispanic_10,pct_pop_hispanic_20
0,"Autauga County, Alabama",54571.0,58805.0,0.07758699675651903,0.772461563834271,0.7071167417736587,0.1758259881622107,0.19304480911487118,0.003976471019405911,0.003128985630473599,0.008557658829781385,0.014845676388062239,0.00040314452731304173,0.00037411784712184336,0.0008246138058675853,0.003145990987160956,0.013945135694782944,0.04234333815151773,0.024005424126367483,0.036000340107133745
1,"Baldwin County, Alabama",182265.0,231767.0,0.2715935588291773,0.8350478698598195,0.8046658929010602,0.09308424546676543,0.07766852054002511,0.006287548349930047,0.00557024943154116,0.007351932625572656,0.008754481871879948,0.0004334348338957013,0.0005263907286196913,0.0013441966367651497,0.003343875530166072,0.012602529284283872,0.04473458257646688,0.04384824294296766,0.05473600642024102
2,"Barbour County, Alabama",27457.0,25223.0,-0.08136358669920239,0.4675310485486397,0.43951948618324543,0.4669118986050916,0.46980930103476987,0.0021852350948756236,0.0022994885620267217,0.003897002585861529,0.004083574515323316,0.0008740940379502495,0.0,0.0004734676038897185,0.002497720334615232,0.007611902247150089,0.02192443404828926,0.0505153512765415,0.05986599532173017
3,"Bibb County, Alabama",22915.0,22293.0,-0.027143792275801878,0.7502072878027493,0.7375409321311622,0.21924503600261838,0.19692280087919975,0.0027929303949378137,0.0017494280715919794,0.0009600698232598735,0.0011662853810613196,0.00030547676194632336,0.0004037141703673799,0.0008727907484180668,0.0021082851119185396,0.007898756273183503,0.02691427802449199,0.017717652192886756,0.03319427623020679
4,"Blount County, Alabama",57322.0,59134.0,0.03161089982903597,0.8888733819475942,0.8415463185307944,0.01263040368444925,0.013968275442215985,0.004971913052580161,0.003179220076436568,0.0020062105299884863,0.002942469645212568,0.00031401556121558915,0.00018601819596171407,0.0006105858134747566,0.0016910745087428552,0.009891490178291058,0.03889471370108567,0.08070199923240641,0.09759190989955017
5,"Bullock County, Alabama",10914.0,10357.0,-0.051035367417995234,0.21916804104819498,0.22023752051752438,0.6997434487813817,0.7133339770203727,0.001832508704416346,9.655305590421937e-05,0.001832508704416346,0.0008689775031379744,0.0003665017408832692,0.0006758713913295356,0.0004581271761040865,0.0029931447330308002,0.00540590067802822,0.013227768658878054,0.07119296316657504,0.04856618711982234
6,"Butler County, Alabama",20947.0,19051.0,-0.09051415477156634,0.5406024729078149,0.5080573198257309,0.4318995560223421,0.4403443388798488,0.0028166324533346063,0.0012072857067870453,0.00830667876068172,0.007506167655241195,0.00033417673175156347,0.0002624534145189229,0.00014321859932209862,0.0024145714135740907,0.006779013701246002,0.026560285549314996,0.009118250823506946,0.01364757755498399
7,"Calhoun County, Alabama",118572.0,116441.0,-0.0179722025436022,0.7361350065782816,0.6829123762248692,0.2039014269810748,0.21783564208483266,0.004048173261815606,0.0033149835539028347,0.006999966265222818,0.009996478903479015,0.0007927672637722228,0.0009618605130495273,0.0009192726782039605,0.0027224087735419657,0.0143710150794454,0.03923016806794857,0.03283237189218365,0.04302608187837617
8,"Chambers County, Alabama",34215.0,34772.0,0.016279409615665645,0.5814116615519509,0.5353732888531002,0.3859710653222271,0.3865466467272518,0.0016659359929855327,0.0020418727711952146,0.004851673242729797,0.011072126998734614,0.00020458863071752155,0.00031634648567813184,0.0006722197866432851,0.003307258713907742,0.009557211749232793,0.025767859197055102,0.01566564372351308,0.03557460025307719
9,"Cherokee County, Alabama",25989.0,24971.0,-0.03917041825387664,0.9207356958713302,0.9035681390412879,0.046404247951056216,0.03952584998598374,0.004694293739659086,0.00436506347362941,0.0018854130593712725,0.002202554963757959,3.847781753818924e-05,4.004645388650835e-05,0.0005771672630728385,0.0018421368787793842,0.013351802685751665,0.032437627648071767,0.012312901612220555,0.01601858155460334
10,"Chilton County, Alabama",43643.0,45014.0,0.03141397245835529,0.8110120752468896,0.7748256098102813,0.09557088192837339,0.08974985560047985,0.0030703663817794376,0.002488114808726174,0.002864147744197237,0.003909894699426845,0.0002520450014893568,0.00011107655396098992,0.0007790481864216484,0.002688052605855956,0.008088353229612997,0.02808015284133825,0.0783630822812364,0.09814724307993068
11,"Choctaw County, Alabama",13859.0,12665.0,-0.08615340212136517,0.5555956418211992,0.5557836557441769,0.4322101161699978,0.4119226213975523,0.0012987950068547515,0.0018949861823924202,0.0008658633379031676,0.0015001973943939992,0.0,0.0,0.000721552781585973,0.0010264508487958942,0.004040695576881449,0.0189498618239242,0.005267335305577603,0.008922226608764312
12,"Clarke County, Alabama",25833.0,23087.0,-0.10629814578252622,0.5397359965935045,0.5184735998613939,0.43665079549413544,0.4428033092216399,0.003716176982928812,0.0032052670333954174,0.002864553091007626,0.003941612162688959,0.00015484070762203383,4.3314419370208345e-05,0.00034839159214957615,0.0016026335166977087,0.00603878759725932,0.021007493394551047,0.010490457941392792,0.00892277039026292
