"GEO_ID","NAME","P002050","P002051","P002052","P002053","P002054","P002055","P002056","P002057","P002058","P002059","P002060","P002061","P002062","P002063","P002064","P002065","P002066","P002067","P002068","P002069","P002070","P002071","P002072","P002073","P002049","P002001","P002002","P002003","P002004","P002005","P002006","P002007","P002008","P002009","P002010","P002011","P002012","P002013","P002014","P002015","P002016","P002017","P002018","P002019","P002020","P002021","P002022","P002023","P002024","P002025","P002026","P002027","P002028","P002029","P002030","P002031","P002032","P002033","P002034","P002035","P002036","P002037","P002038","P002039","P002040","P002041","P002042","P002043","P002044","P002045","P002046","P002047","P002048"
"0500000US06087","Santa Cruz County, California","13","6","2","10","0","0","6","0","0","0","1","0","0","0","0","10","7","1","2","0","0","0","0","0","38","262382","84092","178290","171241","156397","2304","978","10658","292","612","7049","6391","976","1626","2837","258","224","55","91","11","13","47","9","13","157","70","4","610","232","51","7","7","106","12","11","151","17","3","5","0","1","5","0","0","1","0","0","1"
"0500000US06089","Shasta County, California","9","1","0","0","0","0","6","2","0","1","0","0","0","0","0","7","6","0","0","0","1","0","0","0","19","177223","14878","162345","156385","146044","1438","4162","4297","232","212","5960","5601","722","3333","1010","187","85","93","25","3","6","36","14","5","47","34","1","333","147","9","7","6","61","12","10","74","2","2","1","0","0","0","0","0","1","1","0","0"
"0500000US06091","Sierra County, California","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3240","269","2971","2916","2855","5","41","12","2","1","55","52","5","33","8","3","0","0","0","0","0","0","0","1","1","0","1","3","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US06093","Siskiyou County, California","3","4","0","0","0","0","2","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","9","44900","4615","40285","38445","35683","552","1549","528","69","64","1840","1714","153","1196","186","50","22","31","13","1","0","12","11","9","15","11","4","115","51","1","1","0","24","15","4","9","1","0","8","1","0","0","0","0","0","0","0","0"
"0500000US06095","Solano County, California","82","23","10","45","3","3","31","1","0","4","2","3","1","0","0","26","20","5","0","1","0","0","0","0","208","413344","99356","313988","292968","168628","58743","1864","59027","3243","1463","21020","18356","3961","2237","6708","855","232","785","1444","290","131","135","46","17","1075","370","70","2430","622","484","81","50","235","87","18","552","52","4","67","16","22","84","19","3","17","1","0","16"
"0500000US06097","Sonoma County, California","44","5","10","6","2","1","15","0","5","0","0","1","1","0","0","6","6","0","0","0","0","0","0","0","90","483878","120430","363448","350504","320027","6769","3584","17777","1434","913","12944","11744","2139","3396","4292","580","333","158","165","57","24","154","28","21","254","117","26","1104","383","118","33","26","168","32","18","246","31","2","18","2","4","6","1","0","10","0","3","3"
"0500000US06099","Stanislaus County, California","34","2","10","9","0","0","19","2","0","1","1","0","0","4","0","10","10","0","0","0","0","0","3","3","82","514453","215658","298795","284928","240423","13065","2870","24712","3016","842","13867","12847","2096","3467","3905","604","395","219","310","65","60","153","42","25","933","381","192","925","277","128","21","18","108","40","14","175","44","6","9","4","16","13","2","0","9","1","0","40"
"0500000US06101","Sutter County, California","7","3","1","1","0","0","12","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","24","94737","27251","67486","64308","47782","1713","925","13442","256","190","3178","2972","396","877","883","117","62","30","60","11","14","99","10","5","80","311","17","181","68","33","7","2","31","2","1","29","4","0","0","0","1","0","0","0","1","0","0","2"
"0500000US06103","Tehama County, California","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","63463","13906","49557","47913","45603","349","1205","625","64","67","1644","1545","193","1003","195","45","43","10","3","0","2","18","3","10","14","5","1","95","39","6","0","0","27","2","5","13","3","0","0","0","0","0","0","0","0","0","0","0"
"0500000US06105","Trinity County, California","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","0","0","0","0","0","1","1","1","13786","959","12827","12250","11518","45","558","93","16","20","577","545","22","417","54","26","9","5","0","0","0","1","3","0","4","4","0","27","14","1","0","0","4","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0"
